tissue,supertype_name,supertype_label,program_id,n_wildr_samples,mean_h,sd_h,same_sign,top_term,top_category,top_pvalue,n_terms_p05
HYP,0495 ARH-PVp Tbx3 Gaba_3,CS20230722_SUPT_0495,P0,6,0.34469293324344075,0.16938515189503014,TRUE,small GTPase-mediated signal transduction,GOTERM_BP_DIRECT,9.2470980206925e-4,8
HYP,0569 VMH Nr5a1 Glut_4,CS20230722_SUPT_0569,P12,6,0.3384500817414576,0.26112882315771474,TRUE,cell surface,GOTERM_CC_DIRECT,0.0105958858893666,1
AMY,0287 STR-PAL Chst9 Gaba_3,CS20230722_SUPT_0287,P12,6,-0.3356716741069403,0.21391623511140867,TRUE,membrane,GOTERM_CC_DIRECT,0.03268493903220192,3
HYP,0473 DMH-LHA Gsx1 Gaba_4,CS20230722_SUPT_0473,P4,6,0.33198065249447367,0.20152717950529883,TRUE,calcium ion binding,GOTERM_MF_DIRECT,0.00131013026020191,28
AMY,0338 MEA-BST Sox6 Gaba_2,CS20230722_SUPT_0338,P15,6,0.33096595201339774,0.20900450218944,TRUE,ATP binding,GOTERM_MF_DIRECT,0.02016888057791855,7
HYP,0353 MEA-BST Lhx6 Sp9 Gaba_7,CS20230722_SUPT_0353,P2,6,0.33059188209310064,0.17672823812038052,TRUE,COMPBIAS:Basic and acidic residues,UP_SEQ_FEATURE,5.826018071214195e-5,44
HYP,1160 Astro-NT NN_2,CS20230722_SUPT_1160,P18,6,-0.32893541000269927,0.2440385999715772,TRUE,Calcium,UP_KW_LIGAND,0.00364883131612777,4
HYP,0565 VMH Fezf1 Glut_3,CS20230722_SUPT_0565,P3,6,0.3287590535282122,0.15982158442338854,TRUE,IPR013098:Ig_I-set,INTERPRO,2.2465858522458764e-6,63
HYP,0556 ARH-PVp Tbx3 Glut_3,CS20230722_SUPT_0556,P3,6,0.32662690604628236,0.3280246629454504,TRUE,ATP binding,GOTERM_MF_DIRECT,1.2669535269133e-4,28
HYP,0555 ARH-PVp Tbx3 Glut_2,CS20230722_SUPT_0555,P0,6,0.32553196729022527,0.19300916284078237,TRUE,TRANSMEM:Helical; Signal-anchor for type II membrane protein,UP_SEQ_FEATURE,0.00349837401490413,7
AMY,0340 MEA-BST Sox6 Gaba_4,CS20230722_SUPT_0340,P12,6,0.32501475403156566,0.13547852001032476,TRUE,COMPBIAS:Basic and acidic residues,UP_SEQ_FEATURE,0.00323820192699258,11
HYP,0451 AHN-SBPV-PVHd Pdrm12 Gaba_6,CS20230722_SUPT_0451,P12,6,-0.3248418006171132,0.21303714465711523,TRUE,regulation of synapse organization,GOTERM_BP_DIRECT,1.4345050718268364e-6,8
HYP,0487 DMH Hmx2 Gaba_1,CS20230722_SUPT_0487,P10,6,0.3212702774450022,0.12922464289159227,TRUE,extracellular matrix,GOTERM_CC_DIRECT,0.01917756416183617,1
AMY,0174 Vip Gaba_2,CS20230722_SUPT_0174,P3,6,-0.316996419825845,0.16593085333106197,TRUE,metal ion binding,GOTERM_MF_DIRECT,0.02183561605720253,1
